Plate_ID,Plug_ID,1,2,3,4,5,6,7,8,
LP709,l,0.7,1.6,2.8,4.2,6.5,7.8,,,
LP709,p,1,1.8,3.9,6,10.2,12.7,,,
LP710,l,0.7,1.5,2.8,4.7,6.8,8,,,
LP710,p,0.7,1.6,3.6,6.8,10.3,12.5,,,
PA501,p,0.7,2,4.4,7.1,10,13.2,14.4,15.1,
PA501,a,0.4,1.2,2.3,3.1,3.8,4.9,5.6,6.6,
PA502,p,0.8,2.1,4.6,7.5,10.1,13.1,14,14.9,
PA502,a,0.4,1.5,2.5,3.2,4,4.8,5.4,7.1,
PA503,p,0.6,2,4,6.5,8.7,11.7,13.7,14.4,
PA503,a,0.4,1.4,2.2,3,3.4,4.3,4.7,6.1,
PA504,p,0.6,1.7,3.5,6,9.5,12.4,14,15,
PA504,a,0.5,1.2,2,3,3.5,4.3,5.3,6.6,
PA505,p,0.7,1.8,4.5,7.4,10.3,13.7,15.3,,
PA505,a,0.4,1,1.8,2.4,2.9,3.5,4.1,6,
PA506,p,0.7,1.9,4.5,7.9,10.5,13.6,15,,
PA506,a,0.5,1.5,2.7,3.8,4.4,5.6,7,,
PA507,p,0.7,2.2,4.7,7.7,10.7,13.6,15.2,,
PA507,a,0.6,1.7,2.8,4.1,4.6,5.4,6.5,7.3,
PA508,p,0.7,1.9,4.5,7.4,10.5,13.1,14.6,15.4,
PA508,a,0.6,1.8,2.9,4,4.4,5.2,6.7,7.9,
PA509,p,0.7,2,4.4,6.6,9.2,12.6,14.4,,
PA509,a,0.6,1.6,2.5,3.3,3.8,4.7,5.4,6.8,
PA510,p,0.7,1.8,4,6.3,9.8,12.6,14.1,,
PA510,a,0.5,1.7,2.5,3.3,4,4.5,5.2,6.5,
PA701,p,0.7,1.5,4,7.3,10.8,13.7,,,
PA701,a,0.6,1.5,3,3.8,5.2,7.2,,,
PA702,p,0.6,1.5,4,7.5,10.9,13,,,
PA702,a,0.6,1.5,2.7,3.8,5,6.7,,,
PA703,p,0.6,1.9,4.3,7.6,10.8,13.3,,,
PA703,a,0.7,1.9,3.1,4.1,5.9,8,,,
PA704,p,0.7,1.8,4.2,7.5,10.3,13,,,
PA704,a,0.5,1.5,2.7,4.1,5.3,7.4,,,
PA705,p,0.5,1.5,3.9,7,10.5,13.1,,,
PA705,a,0.7,1.8,3.2,4.3,5.8,7.3,,,
PA706,p,0.6,1.8,4,7.5,10.8,13.6,,,
PA706,a,0.6,1.7,2.9,4.2,5.9,7.5,,,
PA707,p,0.7,1.8,4.2,7.7,10.8,13.1,,,
PA707,a,0.6,1.7,2.6,3.6,5.2,6.9,,,
PA708,p,0.7,1.8,4,7.4,10.7,12.5,,,
PA708,a,0.4,1.5,2.6,3.9,5.2,7.1,,,
PA709,p,0.7,2,4.4,7.2,11,13.5,,,
PA709,a,0.4,1.6,2.4,3.2,5.1,7.2,,,
PA710,p,0.7,2,4.7,7.6,11.1,13,,,
PA710,a,0.6,1.5,2.3,3.2,4.8,6.7,,,
