Plate_ID,Fun_ID,cont_ID,PH_ID,Plug_ID,opp_ID,r,K
HA706,H,0,7,hHA706,A,0.16838420599582607,18
HA706,A,0,7,aHA706,H,0.1640232986207711,4.9
HP501,H,0,5,hHP501,P,0.08664339756999313,4.8
HP501,P,0,5,pHP501,H,0.20470109867509964,12.7
HP502,H,0,5,hHP502,P,0.08209744204863381,5.3
HP502,P,0,5,pHP502,H,0.2204485740326699,13.8
HP503,H,0,5,hHP503,P,0.11285846394275176,5.6
HP503,P,0,5,pHP503,H,0.22396993365350693,13.4
HP504,H,0,5,hHP504,P,0.09174614688502508,5.6
HP504,P,0,5,pHP504,H,0.22739480542702128,14.7
HP505,H,0,5,hHP505,P,0.11091289937511284,6.1
HP505,P,0,5,pHP505,H,0.20117973905426256,13.5
HP506,H,0,5,hHP506,P,0.1226036566264658,7
HP506,P,0,5,pHP506,H,0.2325940425893759,13.2
HP507,H,0,5,hHP507,P,0.09855717004553376,5.5
HP507,P,0,5,pHP507,H,0.21682513192351333,13
HP508,H,0,5,hHP508,P,0.09590689408920838,5.1
HP508,P,0,5,pHP508,H,0.22739480542702123,13.5
HP509,H,0,5,hHP509,P,0.11887203623275562,6.8
HP509,P,0,5,pHP509,H,0.2130935115298032,13.3
HP510,H,0,5,hHP510,P,0.083309866684723,8.4
HP510,P,0,5,pHP510,H,0.156595371061921,7.7
HP701,H,0,7,hHP701,P,0.17203050315829865,14.9
HP701,P,0,7,pHP701,H,0.20812597044861397,7.6
HP702,H,0,7,hHP702,P,0.1522089560855122,14.9
HP702,P,0,7,pHP702,H,0.24676012825275123,7.9
HP703,H,0,7,hHP703,P,0.16159603788863333,15
HP703,P,0,7,pHP703,H,0.2047010986750996,7.5
HP704,H,0,7,hHP704,P,0.16838420599582615,14.1
HP704,P,0,7,pHP704,H,0.2204485740326699,7.9
HP705,H,0,7,hHP705,P,0.1596368836443623,14.8
HP705,P,0,7,pHP705,H,0.1980150130562263,7.6
